OCPM #,Make/Miss,SR Create TS,SR Close TS,Cust Contact TS,Close and Create Diff
409S2Y6,Miss,2020-01-03 11:48:00,2020-01-10 12:00:00,2020-01-03 11:53:00,7 days 00:12:00.000000000
409T6VW,Make,2020-01-09 10:55:00,2020-01-10 14:51:00,2020-01-09 10:56:00,1 days 03:56:00.000000000
409T6RM,Make,2020-01-09 09:39:00,2020-01-10 14:58:00,2020-01-09 09:40:00,1 days 05:19:00.000000000
409ST5R,Make,2020-01-08 10:01:00,2020-01-10 11:04:00,2020-01-08 10:01:00,2 days 01:03:00.000000000
409SCC8,Make,2020-01-06 13:34:00,2020-01-10 21:24:00,2020-01-06 13:34:00,4 days 07:50:00.000000000
409S8DK,Make,2020-01-06 08:38:00,2020-01-10 21:06:00,,4 days 12:28:00.000000000
409RWTG,Miss,2020-01-02 20:01:00,2020-01-10 21:19:00,2020-01-02 20:02:00,8 days 01:18:00.000000000
409SN6B,Make,2020-01-07 14:51:00,2020-01-10 14:41:00,2020-01-08 10:34:00,2 days 23:50:00.000000000
409SDCM,Make,2020-01-06 15:35:00,2020-01-10 11:14:00,2020-01-07 09:12:00,3 days 19:39:00.000000000
409S8H6,Make,2020-01-06 08:46:00,2020-01-10 21:06:00,,4 days 12:20:00.000000000
409S8MR,Make,2020-01-06 09:03:00,2020-01-10 21:06:00,,4 days 12:03:00.000000000
409SDNP,Make,2020-01-06 17:16:00,2020-01-10 11:09:00,2020-01-07 10:39:00,3 days 17:53:00.000000000
409SF3W,Make,2020-01-06 17:22:00,2020-01-10 13:04:00,2020-01-07 07:44:00,3 days 19:42:00.000000000
BNBDKZ8,Make,2020-01-08 16:05:00,2020-01-10 14:45:00,2020-01-09 13:52:00,1 days 22:40:00.000000000
409SBPP,Make,2020-01-06 12:18:00,2020-01-10 21:23:00,,4 days 09:05:00.000000000
409SV29,Make,2020-01-08 11:08:00,2020-01-10 12:31:00,2020-01-08 11:09:00,2 days 01:23:00.000000000
409T854,Make,2020-01-09 14:37:00,2020-01-10 16:57:00,2020-01-09 14:39:00,1 days 02:20:00.000000000
409SBM8,Make,2020-01-06 12:08:00,2020-01-10 21:23:00,,4 days 09:15:00.000000000
409SV67,Make,2020-01-08 10:18:00,2020-01-09 11:40:00,2020-01-09 09:48:00,1 days 01:22:00.000000000
409RW3M,Miss,2020-01-02 14:49:00,2020-01-09 10:14:00,2020-01-03 08:04:00,6 days 19:25:00.000000000
409S3LB,Miss,2020-01-03 13:37:00,2020-01-09 21:01:00,,6 days 07:24:00.000000000
409S9J2,Make,2020-01-06 09:26:00,2020-01-09 12:23:00,2020-01-06 12:00:00,3 days 02:57:00.000000000
409SK6S,Make,2020-01-07 08:46:00,2020-01-09 13:27:00,2020-01-08 09:58:00,2 days 04:41:00.000000000
409S62Z,Make,2020-01-05 14:28:00,2020-01-09 13:24:00,2020-01-08 17:44:00,3 days 22:56:00.000000000
409S9DQ,Make,2020-01-06 10:16:00,2020-01-09 17:56:00,2020-01-07 18:25:00,3 days 07:40:00.000000000
409S2PY,Make,2020-01-03 11:17:00,2020-01-09 01:24:00,2020-01-06 12:26:00,5 days 14:07:00.000000000
409S9MY,Make,2020-01-06 07:37:00,2020-01-09 17:08:00,2020-01-07 13:57:00,3 days 09:31:00.000000000
409SD5R,Make,2020-01-06 15:12:00,2020-01-09 16:29:00,2020-01-06 16:01:00,3 days 01:17:00.000000000
409SST4,Make,2020-01-08 09:43:00,2020-01-09 14:50:00,2020-01-08 09:47:00,1 days 05:07:00.000000000
409SMBS,Make,2020-01-07 10:02:00,2020-01-09 12:40:00,2020-01-09 10:55:00,2 days 02:38:00.000000000
409SDHY,Make,2020-01-06 14:54:00,2020-01-09 16:12:00,2020-01-06 14:54:00,3 days 01:18:00.000000000
409SDQ2,Make,2020-01-06 13:25:00,2020-01-09 13:19:00,2020-01-06 13:25:00,2 days 23:54:00.000000000
409SNHZ,Make,2020-01-07 15:44:00,2020-01-09 11:15:00,2020-01-07 15:45:00,1 days 19:31:00.000000000
409SP3C,Make,2020-01-07 17:47:00,2020-01-09 11:32:00,2020-01-07 17:48:00,1 days 17:45:00.000000000
409SMHQ,Make,2020-01-07 10:27:00,2020-01-09 11:04:00,2020-01-07 10:27:00,2 days 00:37:00.000000000
409SBTQ,Make,2020-01-06 12:37:00,2020-01-09 12:14:00,2020-01-08 15:03:00,2 days 23:37:00.000000000
409SSZW,Make,2020-01-08 09:52:00,2020-01-09 16:52:00,2020-01-08 09:54:00,1 days 07:00:00.000000000
409SD4G,Make,2020-01-06 15:06:00,2020-01-09 16:47:00,2020-01-06 15:37:00,3 days 01:41:00.000000000
409SLLD,Make,2020-01-07 11:45:00,2020-01-09 13:57:00,2020-01-07 11:46:00,2 days 02:12:00.000000000
BNBDNDN,Make,2020-01-08 11:45:00,2020-01-09 18:00:00,2020-01-08 15:20:00,1 days 06:15:00.000000000
409ST5C,Make,2020-01-08 10:03:00,2020-01-09 15:23:00,2020-01-09 14:58:00,1 days 05:20:00.000000000
409SLHT,Make,2020-01-07 11:36:00,2020-01-08 16:09:00,2020-01-08 08:24:00,1 days 04:33:00.000000000
409SM62,Make,2020-01-07 11:40:00,2020-01-08 19:10:00,,1 days 07:30:00.000000000
409SLN5,Make,2020-01-07 10:50:00,2020-01-08 13:48:00,2020-01-08 09:58:00,1 days 02:58:00.000000000
409RZKD,Make,2020-01-03 08:42:00,2020-01-08 16:15:00,2020-01-03 11:00:00,5 days 07:33:00.000000000
409SLDQ,Make,2020-01-07 11:24:00,2020-01-08 12:53:00,2020-01-07 15:52:00,1 days 01:29:00.000000000
409RV4V,Miss,2020-01-02 12:35:00,2020-01-08 17:16:00,2020-01-02 12:36:00,6 days 04:41:00.000000000
409SKYW,Make,2020-01-07 09:47:00,2020-01-08 16:17:00,2020-01-07 09:49:00,1 days 06:30:00.000000000
409S39Z,Make,2020-01-03 12:44:00,2020-01-08 09:54:00,2020-01-06 13:12:00,4 days 21:10:00.000000000
BNBFGCT,Make,2020-01-06 09:24:00,2020-01-08 13:07:00,2020-01-07 08:49:00,2 days 03:43:00.000000000
